1	1	1	1	2011-04-16 00:00:00	P	4	50.26	2011-04-16 00:00:00
2	359	2	1	2011-04-16 00:00:00	P	3	45.12	2011-04-16 00:00:00
3	360	2	2	2011-04-16 00:00:00	P	3	45.5805	2011-04-16 00:00:00
4	530	3	1	2011-04-16 00:00:00	P	550	16.086	2011-04-16 00:00:00
5	4	4	1	2011-04-16 00:00:00	P	3	57.0255	2011-04-16 00:00:00
6	512	5	1	2011-04-30 00:00:00	P	550	37.086	2011-04-30 00:00:00
7	513	6	1	2011-04-30 00:00:00	P	550	26.5965	2011-04-30 00:00:00
8	317	7	1	2011-04-30 00:00:00	P	550	27.0585	2011-04-30 00:00:00
9	318	7	2	2011-04-30 00:00:00	P	550	33.579	2011-04-30 00:00:00
10	319	7	3	2011-04-30 00:00:00	P	550	46.0635	2011-04-30 00:00:00
11	403	8	1	2011-04-30 00:00:00	P	3	47.4705	2011-04-30 00:00:00
12	404	8	2	2011-04-30 00:00:00	P	3	45.3705	2011-04-30 00:00:00
13	405	8	3	2011-04-30 00:00:00	P	3	49.644	2011-04-30 00:00:00
14	406	8	4	2011-04-30 00:00:00	P	3	45.3705	2011-04-30 00:00:00
15	407	8	5	2011-04-30 00:00:00	P	3	43.2705	2011-04-30 00:00:00
16	709	43659	10	2011-05-31 00:00:00	S	6	6.175	2011-05-31 00:00:00
17	711	43659	12	2011-05-31 00:00:00	S	4	20.1865	2011-05-31 00:00:00
18	712	43659	11	2011-05-31 00:00:00	S	2	5.6187	2011-05-31 00:00:00
19	714	43659	8	2011-05-31 00:00:00	S	3	31.2437	2011-05-31 00:00:00
20	716	43659	9	2011-05-31 00:00:00	S	1	31.2437	2011-05-31 00:00:00
21	771	43659	4	2011-05-31 00:00:00	S	1	2447.9928	2011-05-31 00:00:00
22	772	43659	5	2011-05-31 00:00:00	S	1	2447.9928	2011-05-31 00:00:00
23	773	43659	6	2011-05-31 00:00:00	S	2	2447.9928	2011-05-31 00:00:00
24	774	43659	7	2011-05-31 00:00:00	S	1	2447.9928	2011-05-31 00:00:00
